gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
ABCG2,ENSG00000118777,ENST00000237612,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2 ,2.114865833,2.013445077,1212.093936354
ABCG4,ENSG00000172350,ENST00000619701,Q9H172,ATP-binding cassette sub-family G member 4,2.404007633,,
ABCG5,ENSG00000138075,ENST00000405322,Q9H222,ATP-binding cassette sub-family G member 5 ,0.2934343,,
ABCG8,ENSG00000143921,ENST00000645013,Q9H221,ATP-binding cassette sub-family G member 8 ,0.412346667,,
ABHD1,ENSG00000143994,ENST00000448950,Q96SE0,Protein ABHD1 ,1.570473673,,
ABHD10,ENSG00000144827,ENST00000273359,Q9NUJ1,"Palmitoyl-protein thioesterase ABHD10, mitochondrial ",60.40500667,1268.423892,763591.1829840001
ABHD11,ENSG00000106077,ENST00000222800,Q8NFV4,Protein ABHD11 ,22.25116833,151.7674313,91363.9936426
ABHD12,ENSG00000100997,ENST00000339157,Q8N2K0,Lysophosphatidylserine lipase ABHD12 ,33.01168467,89.05293538,53609.86709876
ABHD12B,ENSG00000131969,ENST00000557345,Q7Z5M8,Protein ABHD12B ,0.468342033,,
ABHD13,ENSG00000139826,ENST00000375898,Q7L211,Protein ABHD13 ,3.5575,2.552624354,1536.679861108
ABHD14A,ENSG00000248487,ENST00000273596,Q9BUJ0,Protein ABHD14A ,15.99489133,4.727660438,2846.051583676
ABHD14B,ENSG00000114779,ENST00000395008,Q96IU4,Protein ABHD14B ,45.497502,459.2902735,276492.744647
ABHD15,ENSG00000168792,ENST00000307201,Q6UXT9,Protein ABHD15 ,8.2304,0.378398679,227.796004758
ABHD16A,ENSG00000204427,ENST00000440843,O95870,Phosphatidylserine lipase ABHD16A ,24.75145559,41.78335675,25153.580763500002
ABHD16B,ENSG00000183260,ENST00000369916,Q9H3Z7,Protein ABHD16B ,0.0,,
ABHD17A,ENSG00000129968,ENST00000292577,Q96GS6,Alpha/beta hydrolase domain-containing protein 17A ,63.06943933,5.639977004,3395.2661564080004
ABHD17B,ENSG00000107362,ENST00000377041,Q5VST6,Alpha/beta hydrolase domain-containing protein 17B ,21.73596333,28.34793406,17065.45630412
ABHD17C,ENSG00000136379,ENST00000258884,Q6PCB6,Alpha/beta hydrolase domain-containing protein 17C ,16.87645167,2.04163407,1229.06371014
ABHD18,ENSG00000164074,ENST00000444616,Q0P651,Protein ABHD18 ,10.41129667,11.80067118,7104.00405036
ABHD2,ENSG00000140526,ENST00000352732,P08910,Monoacylglycerol lipase ABHD2 ,22.06700433,0.46766274,281.53296948
ABHD3,ENSG00000158201,ENST00000289119,Q8WU67,Phospholipase ABHD3 ,23.77273233,11.39672334,6860.82745068
ABHD4,ENSG00000100439,ENST00000428304,Q8TB40,(Lyso)-N-acylphosphatidylethanolamine lipase ,6.126502667,7.477914188,4501.704341176
ABHD5,ENSG00000011198,ENST00000644371,Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 ,21.44649485,8.189068531,4929.819255662
ABHD6,ENSG00000163686,ENST00000478253,Q9BV23,Monoacylglycerol lipase ABHD6 ,12.41899933,47.43601304,28556.47985008
ABHD8,ENSG00000127220,ENST00000247706,Q96I13,Protein ABHD8 ,1.815849333,,
ABI1,ENSG00000136754,ENST00000376140,Q8IZP0,Abl interactor 1 ,26.50175827,310.5325606,186940.6014812
ABI2,ENSG00000138443,ENST00000261017,Q9NYB9,Abl interactor 2 ,47.90514363,70.5867348,42493.2143496
ABI3,ENSG00000108798,ENST00000225941,Q9P2A4,ABI gene family member 3 ,0.051208,,
ABI3BP,ENSG00000154175,ENST00000284322,Q7Z7G0,Target of Nesh-SH3 ,1.28339219,,
ABITRAM,ENSG00000119328,ENST00000322940,Q9NX38,Protein Abitram ,17.65118133,54.45541037,32782.15704274
ABL1,ENSG00000097007,ENST00000318560,P00519,Tyrosine-protein kinase ABL1 ,33.08555333,37.13260245,22353.8266749
ABL2,ENSG00000143322,ENST00000502732,P42684,Tyrosine-protein kinase ABL2 ,18.39909896,55.08973664,33164.021457279996
ABLIM1,ENSG00000099204,ENST00000392952,O14639,Actin-binding LIM protein 1 ,32.47056933,38.3450472,23083.718414400002
ABLIM2,ENSG00000163995,ENST00000428004,Q6H8Q1,Actin-binding LIM protein 2 ,2.297593567,0.382608889,230.330551178
ABLIM3,ENSG00000173210,ENST00000326685,O94929,Actin-binding LIM protein 3 ,0.378358001,,
ABR,ENSG00000278741,ENST00000612118,Q12979,Active breakpoint cluster region-related protein,29.07777637,35.32377496,21264.91252592
ABRA,ENSG00000174429,ENST00000311955,Q8N0Z2,Actin-binding Rho-activating protein ,0.016799267,,
ABRACL,ENSG00000146386,ENST00000367660,Q9P1F3,Costars family protein ABRACL ,81.21453667,1453.205841,874829.916282
ABRAXAS1,ENSG00000163322,ENST00000321945,Q6UWZ7,BRCA1-A complex subunit Abraxas 1 ,10.49189733,52.51679147,31615.10846494
ABRAXAS2,ENSG00000165660,ENST00000298492,Q15018,BRISC complex subunit Abraxas 2 ,17.57016667,343.4448796,206753.81751919998
ABT1,ENSG00000146109,ENST00000274849,Q9ULW3,Activator of basal transcription 1 ,51.36336667,220.4026838,132682.4156476
ABTB1,ENSG00000114626,ENST00000232744,Q969K4,Ankyrin repeat and BTB/POZ domain-containing protein 1 ,3.418286631,,
ABTB2,ENSG00000166016,ENST00000435224,Q8N961,Ankyrin repeat and BTB/POZ domain-containing protein 2,4.870203333,9.906381014,5963.641370428
AC009286.3,ENSG00000281536,ENST00000630493,A0A0G2JS06,Immunoglobulin lambda variable 5-39,0.0,,
AC011476.10,ENSG00000277629,ENST00000612403,,,0.0,,
AC011476.11,ENSG00000277824,ENST00000613768,,,0.0,,
AC011476.4,ENSG00000273506,ENST00000612384,,,0.0,,
AC011476.5,ENSG00000273916,ENST00000612577,,,0.0,,
AC011476.6,ENSG00000274053,ENST00000611561,,,0.0,,
AC011476.9,ENSG00000275822,ENST00000615207,,,0.0,,
AC012314.10,ENSG00000274894,ENST00000619439,,,1.784047634,,
AC012314.12,ENSG00000275117,ENST00000619956,,,1.784047634,,
AC012314.18,ENSG00000276260,ENST00000619470,,,0.0,,
AC012314.20,ENSG00000276421,ENST00000616732,,,1.784047634,,
AC012314.23,ENSG00000277154,ENST00000610903,,,1.784047634,,
AC012314.25,ENSG00000277667,ENST00000622368,,,0.0,,
AC012314.26,ENSG00000277707,ENST00000620861,,,1.784047634,,
AC012314.28,ENSG00000277953,ENST00000622300,,,1.784047634,,
AC012314.29,ENSG00000277996,ENST00000613354,,,0.0,,
AC012314.31,ENSG00000278363,ENST00000620520,,,0.0,,
AC012314.5,ENSG00000274144,ENST00000620142,,,1.784047634,,
AC012314.8,ENSG00000274651,ENST00000618937,,,1.784047634,,
AC012314.9,ENSG00000274873,ENST00000616323,,,0.0,,
AC068987.5,ENSG00000284730,ENST00000642069,P0DPE3,Transmembrane and death domain protein 1,0.0181517,,
AC079341.3,ENSG00000164112,ENST00000643663,Q4W5P6,Small integral membrane protein 43,0.299965433,,
AC091057.6,ENSG00000284906,ENST00000563110,,,5.210352333,,
AC093323.1,ENSG00000170846,ENST00000444232,B2RBV5,Putative MORF4 family-associated protein 1-like protein UPP ,42.47910367,,
AC093668.3,ENSG00000284981,ENST00000644544,E5RIL1,Uroplakin-3b-like protein 2,30.5933,,
AC106774.8,ENSG00000284373,ENST00000639081,A6NLC8,Putative TAF11-like protein ENSP00000332601,0.0,,
AC116565.1,ENSG00000273238,ENST00000610212,A0A286YF58,Transmembrane protein 271,0.983257,,
AC118549.1,ENSG00000036549,ENST00000370801,Q8IYH5,ZZ-type zinc finger-containing protein 3,57.38153683,,
AC229888.1,ENSG00000282054,ENST00000631639,A0A5A2,T cell receptor beta variable 5-8,0.0,,
AC233282.1,ENSG00000282040,ENST00000632560,A0A1B0GX51,T cell receptor beta variable 7-8,0.0,,
AC233282.2,ENSG00000282610,ENST00000634093,A0A0J9YX75,T cell receptor beta variable 6-9,0.0,,
AC233755.1,ENSG00000275063,ENST00000618003,P0DP08,Immunoglobulin heavy variable 4-38-2,0.0,,
AC234301.4,ENSG00000282404,ENST00000632151,A0A087WSY4,Immunoglobulin heavy variable 4-30-2,0.0,,
AC234635.1,ENSG00000282353,ENST00000632148,P0DPF7,T cell receptor beta variable 6-3,0.0,,
AC234635.3,ENSG00000282543,ENST00000631427,A0A589,T cell receptor beta variable 4-3,0.0,,
AC270258.1,ENSG00000284958,ENST00000644089,A8MXU0,Putative beta-defensin 108A ,0.0,,
AC270285.6,ENSG00000285217,ENST00000645246,Q96NF6,,0.944330667,,
ACAA1,ENSG00000060971,ENST00000333167,P09110,"3-ketoacyl-CoA thiolase, peroxisomal ",49.21107584,632.2658636,380624.0498872
ACAA2,ENSG00000167315,ENST00000285093,P42765,"3-ketoacyl-CoA thiolase, mitochondrial ",44.44579733,476.416309,286802.618018
ACACA,ENSG00000275176,ENST00000613687,Q13085,Acetyl-CoA carboxylase 1 ,56.29934295,317.7460743,191283.1367286
ACACB,ENSG00000076555,ENST00000377848,O00763,Acetyl-CoA carboxylase 2 ,10.00885818,0.497492969,299.490767338
ACAD10,ENSG00000111271,ENST00000455480,Q6JQN1,Acyl-CoA dehydrogenase family member 10 ,14.90335209,8.382641216,5046.3500120319995
ACAD11,ENSG00000240303,ENST00000264990,Q709F0,Acyl-CoA dehydrogenase family member 11 ,30.97640567,71.08478356,42793.039703120005
ACAD8,ENSG00000151498,ENST00000281182,Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial ",25.16630433,44.81239176,26977.05983952
ACAD9,ENSG00000177646,ENST00000308982,Q9H845,"Complex I assembly factor ACAD9, mitochondrial ",50.58361,371.4964864,223640.88481279998
ACADL,ENSG00000115361,ENST00000233710,P28330,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial ",2.989811333,5.116127103,3079.908516006
ACADM,ENSG00000117054,ENST00000420607,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",105.9605342,1221.63258,735422.81316
ACADS,ENSG00000122971,ENST00000242592,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial ",9.879761,80.44718174,48429.20340748
ACADSB,ENSG00000196177,ENST00000358776,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial ",15.79858467,386.4524903,232644.3991606
ACADVL,ENSG00000072778,ENST00000350303,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial ",99.75637357,111.5825182,67172.6759564
ACAN,ENSG00000157766,ENST00000559004,P16112,Aggrecan core protein ,0.168818067,,
ACAP1,ENSG00000072818,ENST00000158762,Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 ",1.019499233,,
ACAP2,ENSG00000114331,ENST00000326793,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 ",13.83701323,61.82155432,37216.57570064
ACAP3,ENSG00000131584,ENST00000354700,Q96P50,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 ",49.62715157,2.997062344,1804.231531088
ACAT1,ENSG00000075239,ENST00000265838,P24752,"Acetyl-CoA acetyltransferase, mitochondrial ",104.842344,2213.421994,1332480.040388
ACAT2,ENSG00000120437,ENST00000367048,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic ",80.21192333,2311.493844,1391519.294088
ACBD3,ENSG00000182827,ENST00000366812,Q9H3P7,Golgi resident protein GCP60 ,57.46790767,1279.961433,770536.782666
ACBD4,ENSG00000181513,ENST00000398322,Q8NC06,Acyl-CoA-binding domain-containing protein 4,5.518469,1.011405472,608.866094144
ACBD5,ENSG00000107897,ENST00000375888,Q5T8D3,Acyl-CoA-binding domain-containing protein 5,11.58038027,34.07429852,20512.72770904
ACBD6,ENSG00000230124,ENST00000367595,Q9BR61,Acyl-CoA-binding domain-containing protein 6,88.02210593,190.3293345,114578.25936899999
ACBD7,ENSG00000176244,ENST00000356189,Q8N6N7,Acyl-CoA-binding domain-containing protein 7,5.445553333,57.20650764,34438.31759928
ACCS,ENSG00000110455,ENST00000263776,Q96QU6,1-aminocyclopropane-1-carboxylate synthase-like protein 1 ,7.6974599,72.28476433,43515.42812666
ACCSL,ENSG00000205126,ENST00000378832,Q4AC99,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 ,0.043484139,,
ACD,ENSG00000102977,ENST00000393919,Q96AP0,Adrenocortical dysplasia protein homolog ,29.01926046,27.66886182,16656.65481564
ACE,ENSG00000159640,ENST00000290866,P12821,Angiotensin-converting enzyme ,2.025375873,,
ACE2,ENSG00000130234,ENST00000252519,Q9BYF1,Angiotensin-converting enzyme 2 ,0.156143233,,
ACER1,ENSG00000167769,ENST00000301452,Q8TDN7,Alkaline ceramidase 1 ,0.034574433,,
ACER2,ENSG00000177076,ENST00000340967,Q5QJU3,Alkaline ceramidase 2 ,2.466073333,1.104521595,664.9220001900001
ACER3,ENSG00000078124,ENST00000532485,Q9NUN7,Alkaline ceramidase 3 ,12.59008855,,
ACHE,ENSG00000087085,ENST00000412389,P22303,Acetylcholinesterase ,1.407931669,,
ACIN1,ENSG00000100813,ENST00000357481,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus ,241.1221113,1355.28817,815883.47834
ACKR1,ENSG00000213088,ENST00000368121,Q16570,Atypical chemokine receptor 1 ,0.0,,
ACKR2,ENSG00000144648,ENST00000442925,O00590,Atypical chemokine receptor 2 ,0.490988767,,
ACKR3,ENSG00000144476,ENST00000272928,P25106,Atypical chemokine receptor 3 ,0.028023233,,
ACKR4,ENSG00000129048,ENST00000249887,Q9NPB9,Atypical chemokine receptor 4 ,0.024466867,,
ACLY,ENSG00000131473,ENST00000352035,P53396,ATP-citrate synthase ,329.309728,2627.369257,1581676.292714
ACMSD,ENSG00000153086,ENST00000356140,Q8TDX5,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase ,0.0,,
ACO1,ENSG00000122729,ENST00000379923,P21399,Cytoplasmic aconitate hydratase ,25.88714,266.6528916,160525.0407432
ACO2,ENSG00000100412,ENST00000216254,Q99798,"Aconitate hydratase, mitochondrial ",80.543242,1127.305103,678637.672006
ACOD1,ENSG00000102794,ENST00000377462,A6NK06,Cis-aconitate decarboxylase ,0.0,,
ACOT1,ENSG00000184227,ENST00000311148,Q86TX2,Acyl-coenzyme A thioesterase 1 ,4.087287,166.5401857,100257.1917914
ACOT11,ENSG00000162390,ENST00000371316,Q8WXI4,Acyl-coenzyme A thioesterase 11 ,3.052795233,0.453385296,272.937948192
ACOT12,ENSG00000172497,ENST00000307624,Q8WYK0,Acetyl-coenzyme A thioesterase ,0.007406767,,
ACOT13,ENSG00000112304,ENST00000230048,Q9NPJ3,Acyl-coenzyme A thioesterase 13 ,29.34823967,1110.407669,668465.416738
ACOT2,ENSG00000119673,ENST00000238651,P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial ",28.35167033,21.13928545,12725.8498409
ACOT4,ENSG00000177465,ENST00000326303,Q8N9L9,Peroxisomal succinyl-coenzyme A thioesterase ,0.064786633,,
ACOT6,ENSG00000205669,ENST00000381139,Q3I5F7,Putative acyl-coenzyme A thioesterase 6 ,0.0,,
ACOT7,ENSG00000097021,ENST00000608083,O00154,Cytosolic acyl coenzyme A thioester hydrolase ,85.2268675,944.0114484,568294.8919368
ACOT8,ENSG00000101473,ENST00000217455,O14734,Acyl-coenzyme A thioesterase 8 ,23.12717747,58.18848658,35029.468921160005
ACOT9,ENSG00000123130,ENST00000336430,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial ",31.47121567,192.6722715,115988.70744299999
ACOX1,ENSG00000161533,ENST00000301608,Q15067,Peroxisomal acyl-coenzyme A oxidase 1 ,15.838009,243.9724634,146871.42296680002
ACOX2,ENSG00000168306,ENST00000302819,Q99424,Peroxisomal acyl-coenzyme A oxidase 2 ,0.134936052,,
ACOX3,ENSG00000087008,ENST00000356406,O15254,Peroxisomal acyl-coenzyme A oxidase 3 ,12.63787067,22.94026497,13810.03951194
ACOXL,ENSG00000153093,ENST00000439055,Q9NUZ1,Acyl-coenzyme A oxidase-like protein ,0.582150267,,
ACP1,ENSG00000143727,ENST00000272065,P24666,Low molecular weight phosphotyrosine protein phosphatase ,143.311487,1834.003759,1104070.2629179999
ACP2,ENSG00000134575,ENST00000256997,P11117,Lysosomal acid phosphatase ,21.46159226,60.49747894,36419.48232188
ACP3,ENSG00000014257,ENST00000336375,P15309,Prostatic acid phosphatase ,0.274187367,,
ACP4,ENSG00000142513,ENST00000270593,Q9BZG2,Testicular acid phosphatase ,0.0,,
ACP5,ENSG00000102575,ENST00000218758,P13686,Tartrate-resistant acid phosphatase type 5 ,0.0,,
ACP6,ENSG00000162836,ENST00000583509,Q9NPH0,Lysophosphatidic acid phosphatase type 6 ,29.117649,56.03602561,33733.687417220004
ACP7,ENSG00000183760,ENST00000331256,Q6ZNF0,Acid phosphatase type 7 ,0.136046333,,
ACR,ENSG00000100312,ENST00000216139,P10323,Acrosin ,0.291897667,,
ACRBP,ENSG00000111644,ENST00000229243,Q8NEB7,Acrosin-binding protein ,0.199726933,,
ACRV1,ENSG00000134940,ENST00000315608,P26436,Acrosomal protein SP-10 ,0.0,,
ACSBG1,ENSG00000103740,ENST00000258873,Q96GR2,Long-chain-fatty-acid--CoA ligase ACSBG1 ,0.6961474,,
ACSBG2,ENSG00000130377,ENST00000586696,Q5FVE4,Long-chain-fatty-acid--CoA ligase ACSBG2 ,0.055143067,,
ACSF2,ENSG00000167107,ENST00000300441,Q96CM8,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial ",19.49216167,88.00455503,52978.74212806
ACSF3,ENSG00000176715,ENST00000406948,Q4G176,"Malonate--CoA ligase ACSF3, mitochondrial ",26.11560464,71.59201075,43098.3904715
ACSL1,ENSG00000151726,ENST00000281455,P33121,Long-chain-fatty-acid--CoA ligase 1 ,14.88164549,58.63032121,35295.45336842
ACSL3,ENSG00000123983,ENST00000392066,O95573,Long-chain-fatty-acid--CoA ligase 3 ,58.62029367,598.3485076,360205.8015752
ACSL4,ENSG00000068366,ENST00000348502,O60488,Long-chain-fatty-acid--CoA ligase 4 ,27.9995348,223.5973416,134605.5996432
ACSL5,ENSG00000197142,ENST00000354273,Q9ULC5,Long-chain-fatty-acid--CoA ligase 5 ,0.0,,
ACSL6,ENSG00000164398,ENST00000296869,Q9UKU0,Long-chain-fatty-acid--CoA ligase 6 ,3.875187567,6.221650811,3745.4337882219997
ACSM1,ENSG00000166743,ENST00000519745,Q08AH1,"Acyl-coenzyme A synthetase ACSM1, mitochondrial ",0.010184367,,
