gene_name_canonical,compartment,source,Note
CCDC61,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCDC77,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCP110,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CDK5RAP2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CENPJ,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP120,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP128,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP131,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP135,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP152,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP164,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP170,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP192,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP20,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP250,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP290,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP295,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP350,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP41,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP55,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP57,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP63,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP68,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP70,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP72,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP76,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP78,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP83,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP85,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP89,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP97,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CETN2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CETN3,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CNTRL,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CNTROB,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CROCC,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CSPP1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CXCL6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
FAM161A,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
HYLS1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
KIAA0586,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
LRRC45,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
MZT1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
MZT2B,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NEDD1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NEK2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NIN,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
ODF2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
ODF2L,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
OFD1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PCM1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PCNT,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PLK4,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC1A,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC1B,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC5,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
RTTN,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SASS6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SCLT1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SDCCAG8,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SFI1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SPICE1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SSNA1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
STIL,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TBC1D31,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBG1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP3,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP4,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP5,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
AAGAB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AASDH,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AATK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ACOT11,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ACP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ACSS2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ACTMAP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ADAT2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ADAT3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AFMID,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AGGF1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AHR,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AKIRIN2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AKR1B15,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AKTIP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ALAD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ALDH3A1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ALKBH8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AMBRA1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AMDHD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ANKRD10,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ANKRD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ANKRD39,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ANKRD49,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
APPBP2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ARHGAP27,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ARHGAP4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ARHGEF35,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ARL6,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ARR3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASAP3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASB1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASB13,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASB6,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASB9,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASNSD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASPSCR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ASRGL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ATE1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ATG2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ATG4A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ATG4C,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ATXN3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AZI2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
AZIN1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BBLN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BCCIP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BIRC2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BORA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BPGM,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
BRAF,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
C11orf54,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
C14orf119,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
C19orf12,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
C1orf50,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
C8orf76,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CALCOCO1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CAMKK2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CAMKMT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CARS1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CASP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CASP4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CCDC117,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CCDC32,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CCDC91,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CCND1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CCNDBP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CDC25B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CDC37L1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CFAP418,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CHAC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CHKB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CHM,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CHUK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CIAO3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
COL9A3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CPTP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CRADD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CRTC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CRYAB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CSAD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CSTPP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CTNNBIP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CUEDC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CUL7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DALRD3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DAZAP2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DCAF11,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DCAF15,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DCK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DCTD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DENND10,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DFFA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DFFB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DGKZ,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DHX58,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DMXL2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DNAJC12,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DNAJC21,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DNAL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DOK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DOP1B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DPH3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DPH7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DPP8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DTWD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DUSP19,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
DUSP9,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EEF1AKMT2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EEF1AKMT4-ECE2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EEF2K,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EEF2KMT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ELAC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ENO2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ENOPH1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ENOSF1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EPB41L3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
EPM2AIP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ERCC8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ERRFI1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
F8A1;,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FABP3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FAM110B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FAM118A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FAM118B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXL15,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXL16,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXL17,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXL3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXL8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXO3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXO4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXO46,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FBXW5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FCSK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FEZ2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FHIP2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FHL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FNIP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FNTB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
FRYL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GAB1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GAB2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GALM,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GALT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GANC,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GBF1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GCA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GDPGP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GGPS1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GLUL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GMPPB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GNB5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GNPDA2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GON7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPATCH2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPATCH2L,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPCPD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPHN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPN2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GPSM2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GSKIP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GSTCD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GSTM4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GSTT2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
GTF3A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HAGHL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HAPSTR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HDAC8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HDDC3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HDGF,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HEBP2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HELB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HENMT1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HIF1AN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HLCS,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HNMT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HPS4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HSPB7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HSPBAP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HTT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HYI,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
HYKK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IAH1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IFIH1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
INPP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IP6K1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IPO13,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IPP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IRF3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IRGQ,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ITPKC,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
IVNS1ABP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
JMJD4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KBTBD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KBTBD4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KCTD12,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KCTD21,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KCTD7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KCTD9,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KDM8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KHK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KIF3A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KIFAP3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KLHDC2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KLHL11,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KLHL21,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KLHL42,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KLHL5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
KPTN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
L3HYPDH,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LACC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LGALSL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LIMK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LNX2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LPIN2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LRRC14,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
LRRC20,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAF1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAGEA12,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAMLD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAP2K5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAP3K21,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAPK11,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAPK8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAPK8IP3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAPK9,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAPKAPK3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MASTL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MAT2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
